Nombre;Motor;Año;Kilometraje;Cero_km;Accesorios;Valor
Ford Edge;Motor Diesel V6;2002;12859;False;['Sensor crepuscular', 'Llantas de aleación', 'Techo panorámico', 'Sensor de lluvia', 'Cerraduras electricas', 'Sensor de estacionamiento', 'Control de tracción', 'Aire condicionado'];71647.59
Courier;Motor Diesel V8;2007;8052;False;['Central multimedia', '4 X 4', 'Piloto automático', 'Techo panorámico', 'Control de estabilidad', 'Cámara de estacionamiento', 'Asientos de cuero', 'Ventanas eléctricas'];73919.53
S-18;Motor V6;2001;89773;False;['Asientos de cuero', 'Sensor de lluvia', 'Llantas de aleación', 'Central multimedia', 'Cerraduras electricas', 'Aire condicionado', 'Cámara de estacionamiento', 'Sensor crepuscular'];112732.99
J5;Motor V6;2019;;True;['Sensor crepuscular', 'Panel digital', 'Llantas de aleación', 'Frenos ABS', 'Transmisión automática', 'Control de tracción', 'Central multimedia', 'Cámara de estacionamiento'];53183.38
F-Type Coupé;Motor 5.0 V8 Bi-Turbo;2009;41457;False;['Piloto automático', 'Sensor crepuscular', 'Sensor de lluvia', 'Aire condicionado', 'Sensor de estacionamiento', 'Control de tracción', 'Cámara de estacionamiento', 'Ventanas eléctricas'];127488.42
RAM;Motor Diesel V8;2016;115607;False;['Sensor crepuscular', 'Transmisión automática', 'Sensor de lluvia', 'Central multimedia', 'Control de estabilidad', '4 X 4', 'Frenos ABS', 'Piloto automático'];59910.4
Série 1;Motor 3.0 32v;2012;46449;False;['Techo panorámico', 'Cámara de estacionamiento', 'Cerraduras electricas', '4 X 4', 'Panel digital', 'Central multimedia', 'Llantas de aleación', 'Frenos ABS'];61118.59
A3;Motor 1.0 8v;2019;;True;['4 X 4', 'Piloto automático', 'Central multimedia', 'Techo panorámico', 'Sensor de estacionamiento', 'Control de tracción', 'Control de estabilidad', 'Sensor de lluvia'];88552.39
XC90;Motor 1.0 8v;2016;37086;False;['Cerraduras electricas', 'Ventanas eléctricas', 'Techo panorámico', 'Central multimedia', 'Control de estabilidad', '4 X 4', 'Transmisión automática', 'Sensor de lluvia'];62696.69
RS 3 Sportback;Motor 3.0 32v;2017;15173;False;['4 X 4', 'Piloto automático', 'Central multimedia', 'Asientos de cuero', 'Sensor de lluvia', 'Llantas de aleación', 'Aire condicionado', 'Sensor crepuscular'];101726.3
Pajero Sport;Motor 1.0 8v;2002;101193;False;['Sensor de estacionamiento', 'Piloto automático', 'Transmisión automática', 'Panel digital', 'Frenos ABS', 'Cámara de estacionamiento', 'Llantas de aleación', 'Control de estabilidad'];106147.38
Série 1 M;Motor V8;2019;;True;['Control de estabilidad', 'Central multimedia', 'Panel digital', 'Sensor crepuscular', 'Sensor de lluvia', 'Cámara de estacionamiento', 'Aire condicionado', 'Frenos ABS'];94564.4
Lamborghini Obvious;Motor Diesel V6;1994;98079;False;['Llantas de aleación', 'Transmisión automática', 'Cerraduras electricas', 'Techo panorámico', 'Control de estabilidad', 'Central multimedia', 'Sensor de estacionamiento', 'Sensor crepuscular'];133529.84
Effa Hafei Picape Baú;Motor Diesel;1991;102959;False;['Control de estabilidad', 'Panel digital', 'Ventanas eléctricas', '4 X 4', 'Sensor crepuscular', 'Aire condicionado', 'Cerraduras electricas', 'Central multimedia'];125684.65
Lamborghini Murciélago;Motor 5.0 V8 Bi-Turbo;2019;;True;['Frenos ABS', 'Transmisión automática', 'Aire condicionado', 'Cámara de estacionamiento', 'Control de tracción', 'Central multimedia', 'Sensor crepuscular', 'Control de estabilidad'];121596.21
Up!;Motor Diesel V6;2019;;True;['Sensor de estacionamiento', 'Ventanas eléctricas', 'Frenos ABS', 'Central multimedia', 'Control de estabilidad', 'Sensor de lluvia', 'Transmisión automática', 'Piloto automático'];71367.1
Fiesta Rocam Sedan;Motor 4.0 Turbo;2016;5795;False;['Aire condicionado', 'Asientos de cuero', 'Transmisión automática', 'Cámara de estacionamiento', 'Piloto automático', 'Control de estabilidad', 'Sensor de lluvia', 'Ventanas eléctricas'];95347.75
Sandero Stepway;Motor 3.0 32v;2019;;True;['Frenos ABS', 'Aire condicionado', 'Techo panorámico', 'Panel digital', 'Sensor de estacionamiento', 'Ventanas eléctricas', 'Sensor crepuscular', 'Piloto automático'];105432.84
Cayman S;Motor 3.0 32v;2002;58848;False;['Transmisión automática', 'Sensor de estacionamiento', 'Llantas de aleación', 'Ventanas eléctricas', '4 X 4', 'Asientos de cuero', 'Panel digital', 'Cerraduras electricas'];57045.27
V40;Motor 4.0 Turbo;1991;94381;False;['Cámara de estacionamiento', 'Sensor de estacionamiento', 'Llantas de aleación', 'Control de tracción', 'Frenos ABS', 'Transmisión automática', 'Asientos de cuero', 'Sensor de lluvia'];120432.7
Classe SLS AMG;Motor 1.0 8v;1997;30163;False;['Sensor de estacionamiento', 'Control de estabilidad', 'Sensor de lluvia', 'Cerraduras electricas', 'Panel digital', 'Sensor crepuscular', 'Piloto automático', 'Asientos de cuero'];70707.2
Gol G4;Motor 2.0 16v;1995;53332;False;['Sensor crepuscular', '4 X 4', 'Ventanas eléctricas', 'Control de tracción', 'Aire condicionado', 'Cámara de estacionamiento', 'Panel digital', 'Frenos ABS'];69105.18
Linea;Motor 1.0 8v;2018;17720;False;['Piloto automático', 'Panel digital', 'Ventanas eléctricas', 'Control de tracción', 'Techo panorámico', 'Aire condicionado', 'Cámara de estacionamiento', 'Llantas de aleación'];59358.69
Ford F100;Motor 2.0 16v;1991;33808;False;['Control de tracción', 'Sensor crepuscular', 'Cerraduras electricas', 'Asientos de cuero', 'Cámara de estacionamiento', 'Llantas de aleación', 'Central multimedia', '4 X 4'];65955.4
J2;Motor V8;2014;90684;False;['Techo panorámico', 'Sensor de estacionamiento', 'Asientos de cuero', 'Ventanas eléctricas', 'Frenos ABS', 'Llantas de aleación', 'Cerraduras electricas', 'Transmisión automática'];60017.03
Aston Martin DBS;Motor V8;1995;43975;False;['Techo panorámico', 'Piloto automático', 'Aire condicionado', 'Ventanas eléctricas', 'Asientos de cuero', 'Cerraduras electricas', 'Sensor de lluvia', 'Sensor crepuscular'];118909.52
Pajero TR4;Motor 2.4 Turbo;2019;;True;['Control de tracción', 'Asientos de cuero', 'Cámara de estacionamiento', 'Control de estabilidad', 'Ventanas eléctricas', 'Piloto automático', 'Llantas de aleación', 'Techo panorámico'];51606.59
Polo Sedan;Motor V6;2019;;True;['Sensor de lluvia', 'Sensor crepuscular', 'Aire condicionado', 'Sensor de estacionamiento', 'Techo panorámico', 'Transmisión automática', 'Ventanas eléctricas', 'Cerraduras electricas'];123281.87
California;Motor 1.0 8v;2009;5526;False;['Llantas de aleación', 'Aire condicionado', 'Cámara de estacionamiento', 'Panel digital', 'Cerraduras electricas', 'Sensor crepuscular', 'Central multimedia', 'Frenos ABS'];69770.18
S60;Motor 2.4 Turbo;2019;;True;['Techo panorámico', 'Frenos ABS', '4 X 4', 'Aire condicionado', 'Control de tracción', 'Central multimedia', 'Panel digital', 'Sensor crepuscular'];102609.54
Tucson;Motor 2.0 16v;2013;93415;False;['Ventanas eléctricas', 'Sensor crepuscular', 'Frenos ABS', 'Cámara de estacionamiento', 'Piloto automático', 'Cerraduras electricas', 'Transmisión automática', '4 X 4'];67997.19
HB20;Motor V6;2003;40762;False;['Sensor de lluvia', 'Cerraduras electricas', 'Control de tracción', 'Frenos ABS', 'Aire condicionado', 'Techo panorámico', 'Ventanas eléctricas', 'Transmisión automática'];135235.29
Optima;Motor 1.8 16v;2019;;True;['Central multimedia', 'Aire condicionado', 'Techo panorámico', 'Frenos ABS', 'Panel digital', 'Control de estabilidad', '4 X 4', 'Sensor de estacionamiento'];86641.34
Logan;Motor 4.0 Turbo;2002;86302;False;['Cámara de estacionamiento', 'Ventanas eléctricas', 'Central multimedia', 'Sensor de lluvia', 'Sensor crepuscular', 'Panel digital', 'Aire condicionado', 'Asientos de cuero'];136818.39
Range Rover Vogue;Motor 1.0 8v;2019;;True;['4 X 4', 'Ventanas eléctricas', 'Llantas de aleación', 'Central multimedia', 'Cámara de estacionamiento', 'Sensor de estacionamiento', 'Piloto automático', 'Aire condicionado'];117626.73
Sonata;Motor 5.0 V8 Bi-Turbo;2002;9755;False;['Piloto automático', 'Aire condicionado', 'Ventanas eléctricas', '4 X 4', 'Sensor de estacionamiento', 'Asientos de cuero', 'Cerraduras electricas', 'Control de estabilidad'];56208.7
Ford New Fiesta Sedan;Motor 3.0 32v;2004;69945;False;['Techo panorámico', 'Panel digital', 'Aire condicionado', 'Central multimedia', '4 X 4', 'Control de estabilidad', 'Transmisión automática', 'Sensor de lluvia'];84222.65
Série 5 Gran Turismo;Motor 4.0 Turbo;2001;2395;False;['Control de tracción', 'Piloto automático', 'Aire condicionado', 'Asientos de cuero', 'Frenos ABS', 'Central multimedia', 'Sensor de lluvia', '4 X 4'];90781.65
CR-V;Motor Diesel V8;2019;;True;['Transmisión automática', 'Central multimedia', 'Ventanas eléctricas', 'Control de estabilidad', 'Control de tracción', 'Asientos de cuero', 'Frenos ABS', 'Panel digital'];64701.1
Ford EcoSport;Motor 1.0 8v;2003;80349;False;['Ventanas eléctricas', 'Piloto automático', 'Panel digital', 'Frenos ABS', 'Asientos de cuero', 'Techo panorámico', 'Sensor de lluvia', 'Llantas de aleación'];126350.49
Versa;Motor 3.0 32v;2009;85554;False;['Asientos de cuero', 'Aire condicionado', 'Llantas de aleación', 'Sensor crepuscular', 'Cerraduras electricas', 'Sensor de estacionamiento', 'Piloto automático', 'Control de estabilidad'];148152.89
Classe E;Motor 1.0 8v;2006;50496;False;['Frenos ABS', 'Sensor de estacionamiento', 'Central multimedia', 'Cámara de estacionamiento', 'Aire condicionado', 'Techo panorámico', 'Transmisión automática', 'Piloto automático'];132298.83
Carnival;Motor V8;2000;67716;False;['Cerraduras electricas', 'Transmisión automática', 'Cámara de estacionamiento', 'Frenos ABS', 'Central multimedia', 'Llantas de aleación', 'Techo panorámico', 'Control de estabilidad'];137627.63
Aston Martin V8 Vantage Roadster;Motor 2.4 Turbo;2006;93947;False;['Transmisión automática', 'Cámara de estacionamiento', 'Ventanas eléctricas', 'Control de estabilidad', 'Central multimedia', 'Piloto automático', 'Sensor crepuscular', 'Cerraduras electricas'];80422.71
Hoggar;Motor 5.0 V8 Bi-Turbo;2010;35345;False;['Control de estabilidad', 'Asientos de cuero', 'Sensor de lluvia', 'Panel digital', 'Ventanas eléctricas', 'Frenos ABS', 'Control de tracción', 'Aire condicionado'];56373.99
A1;Motor 5.0 V8 Bi-Turbo;1994;81007;False;['Panel digital', 'Transmisión automática', 'Cámara de estacionamiento', 'Frenos ABS', 'Control de estabilidad', 'Sensor crepuscular', '4 X 4', 'Aire condicionado'];70846.03
Aston Martin DB7 Vantage;Motor V6;2007;119513;False;['Sensor crepuscular', 'Piloto automático', 'Techo panorámico', 'Frenos ABS', 'Transmisión automática', 'Central multimedia', 'Ventanas eléctricas', 'Sensor de estacionamiento'];128694.23
CLA;Motor 1.0 8v;2019;;True;['Central multimedia', 'Sensor de lluvia', 'Control de estabilidad', 'Sensor crepuscular', 'Llantas de aleación', 'Piloto automático', '4 X 4', 'Ventanas eléctricas'];133329.19
Accord;Motor V8;2019;;True;['Sensor de estacionamiento', 'Aire condicionado', 'Central multimedia', 'Control de tracción', 'Llantas de aleación', 'Techo panorámico', 'Sensor de lluvia', 'Cámara de estacionamiento'];131961.43
EXTRA 103EX;Motor 2.0 16v;2019;;True;['Sensor de estacionamiento', 'Central multimedia', 'Asientos de cuero', 'Sensor crepuscular', 'Techo panorámico', 'Control de tracción', 'Piloto automático', 'Sensor de lluvia'];112033.27
Sorento;Motor Diesel;2019;;True;['Sensor de lluvia', 'Cámara de estacionamiento', 'Sensor de estacionamiento', 'Control de estabilidad', 'Llantas de aleación', 'Cerraduras electricas', 'Ventanas eléctricas', 'Control de tracción'];81399.35
Tiggo;Motor 3.0 32v;2019;;True;['Cámara de estacionamiento', 'Frenos ABS', 'Piloto automático', 'Ventanas eléctricas', 'Transmisión automática', 'Sensor crepuscular', 'Sensor de estacionamiento', 'Control de tracción'];97163.1
New Fiesta Hatch;Motor Diesel;2017;118895;False;['Sensor de estacionamiento', 'Cerraduras electricas', 'Piloto automático', 'Llantas de aleación', 'Control de tracción', 'Aire condicionado', '4 X 4', 'Sensor crepuscular'];66007.16
Jeep Renegade;Motor 5.0 V8 Bi-Turbo;2011;48509;False;['Ventanas eléctricas', 'Techo panorámico', 'Asientos de cuero', 'Cerraduras electricas', 'Sensor de lluvia', 'Control de tracción', 'Frenos ABS', 'Central multimedia'];128776.22
Lamborghini Ankonian;Motor 2.0 16v;2001;100912;False;['Asientos de cuero', 'Cámara de estacionamiento', 'Central multimedia', '4 X 4', 'Sensor de lluvia', 'Aire condicionado', 'Llantas de aleación', 'Sensor crepuscular'];142623.02
Space Cross;Motor 5.0 V8 Bi-Turbo;1996;95649;False;['Techo panorámico', 'Ventanas eléctricas', 'Sensor de lluvia', 'Cerraduras electricas', 'Llantas de aleación', 'Sensor crepuscular', 'Frenos ABS', 'Aire condicionado'];136930.13
Touareg;Motor V8;2019;;True;['Control de estabilidad', 'Piloto automático', 'Sensor crepuscular', 'Cerraduras electricas', 'Cámara de estacionamiento', 'Llantas de aleación', 'Panel digital', 'Techo panorámico'];66526.61
Classe M;Motor 1.0 8v;1994;90495;False;['Central multimedia', 'Asientos de cuero', 'Llantas de aleación', '4 X 4', 'Ventanas eléctricas', 'Transmisión automática', 'Aire condicionado', 'Control de estabilidad'];114154.87
Lancer Evolution X;Motor Diesel V6;2019;;True;['Ventanas eléctricas', 'Transmisión automática', 'Control de tracción', 'Cerraduras electricas', 'Techo panorámico', 'Aire condicionado', 'Sensor crepuscular', 'Central multimedia'];142392.75
Kangoo Express;Motor Diesel;2007;29132;False;['Asientos de cuero', 'Transmisión automática', 'Piloto automático', 'Control de estabilidad', 'Central multimedia', 'Sensor de lluvia', 'Techo panorámico', 'Panel digital'];146716.91
SW4;Motor Diesel V6;1994;23802;False;['Sensor de lluvia', 'Asientos de cuero', 'Control de tracción', 'Piloto automático', 'Central multimedia', 'Cámara de estacionamiento', 'Techo panorámico', 'Llantas de aleación'];122485.68
Cadillac ELR;Motor 1.0 8v;2007;84992;False;['Sensor crepuscular', 'Cerraduras electricas', 'Techo panorámico', 'Ventanas eléctricas', 'Sensor de estacionamiento', 'Sensor de lluvia', 'Llantas de aleación', 'Frenos ABS'];97951.03
Doblò;Motor 1.8 16v;1997;54395;False;['Cámara de estacionamiento', 'Techo panorámico', 'Control de estabilidad', 'Sensor de estacionamiento', 'Cerraduras electricas', 'Ventanas eléctricas', 'Asientos de cuero', 'Piloto automático'];78283.49
Lamborghini Egoista;Motor 3.0 32v;2006;26731;False;['Llantas de aleación', 'Control de tracción', 'Central multimedia', 'Control de estabilidad', 'Sensor de estacionamiento', 'Panel digital', 'Cámara de estacionamiento', 'Sensor crepuscular'];83434.04
Fit;Motor Diesel;2013;44329;False;['Frenos ABS', 'Cámara de estacionamiento', 'Transmisión automática', 'Techo panorámico', 'Piloto automático', 'Ventanas eléctricas', 'Sensor de lluvia', 'Sensor crepuscular'];77836.23
C5;Motor 2.0 16v;1994;118236;False;['Panel digital', 'Techo panorámico', 'Piloto automático', 'Control de estabilidad', 'Sensor crepuscular', 'Sensor de estacionamiento', 'Cerraduras electricas', 'Sensor de lluvia'];60813.92
Celer Hatch;Motor V8;2008;113808;False;['Control de estabilidad', 'Transmisión automática', 'Frenos ABS', 'Llantas de aleación', 'Sensor crepuscular', 'Sensor de lluvia', 'Central multimedia', 'Aire condicionado'];91353.86
HB20S;Motor V8;2008;610;False;['Techo panorámico', 'Llantas de aleación', 'Cerraduras electricas', 'Control de tracción', 'Frenos ABS', 'Piloto automático', 'Sensor crepuscular', 'Sensor de estacionamiento'];116281.21
Cielo Hatch;Motor Diesel;2019;;True;['Panel digital', 'Central multimedia', 'Cámara de estacionamiento', 'Cerraduras electricas', 'Control de tracción', 'Sensor de estacionamiento', 'Techo panorámico', 'Aire condicionado'];145197.7
Livina;Motor 2.0 16v;2019;;True;['Sensor crepuscular', 'Cámara de estacionamiento', 'Central multimedia', 'Llantas de aleación', 'Panel digital', 'Transmisión automática', 'Asientos de cuero', 'Sensor de estacionamiento'];50742.1
Ducato;Motor 5.0 V8 Bi-Turbo;1999;12887;False;['Sensor de lluvia', 'Panel digital', 'Sensor crepuscular', '4 X 4', 'Sensor de estacionamiento', 'Asientos de cuero', 'Cerraduras electricas', 'Transmisión automática'];73033.53
March;Motor V6;2007;79607;False;['Asientos de cuero', 'Piloto automático', 'Sensor de estacionamiento', 'Ventanas eléctricas', 'Control de estabilidad', 'Frenos ABS', '4 X 4', 'Transmisión automática'];54332.87
Cadillac XTS sedan;Motor Diesel V6;1993;90924;False;['Aire condicionado', 'Transmisión automática', 'Sensor de estacionamiento', 'Cerraduras electricas', 'Cámara de estacionamiento', 'Control de tracción', 'Asientos de cuero', 'Panel digital'];52207.45
Lamborghini Centenario;Motor V6;1995;42733;False;['Central multimedia', 'Ventanas eléctricas', 'Sensor de estacionamiento', '4 X 4', 'Cámara de estacionamiento', 'Panel digital', 'Control de tracción', 'Transmisión automática'];63578.5
Hilux;Motor 5.0 V8 Bi-Turbo;2019;;True;['4 X 4', 'Piloto automático', 'Techo panorámico', 'Central multimedia', 'Ventanas eléctricas', 'Frenos ABS', 'Panel digital', 'Llantas de aleación'];64507.72
Grand Siena;Motor Diesel V8;2019;;True;['Asientos de cuero', 'Panel digital', 'Sensor de estacionamiento', 'Sensor crepuscular', 'Control de tracción', 'Aire condicionado', 'Cerraduras electricas', '4 X 4'];115075.59
Symbol;Motor Diesel;2016;117714;False;['4 X 4', 'Piloto automático', 'Sensor crepuscular', 'Cámara de estacionamiento', 'Ventanas eléctricas', 'Llantas de aleación', 'Central multimedia', 'Control de tracción'];133030.6
Aston Martin V12 GT Zagato;Motor 4.0 Turbo;2011;113885;False;['Central multimedia', 'Piloto automático', 'Sensor de lluvia', 'Control de estabilidad', 'Control de tracción', 'Aire condicionado', 'Ventanas eléctricas', 'Techo panorámico'];141591.86
Fusion;Motor 1.8 16v;2019;;True;['Control de tracción', 'Transmisión automática', 'Frenos ABS', 'Sensor de lluvia', 'Cerraduras electricas', 'Cámara de estacionamiento', 'Aire condicionado', 'Sensor crepuscular'];100380.28
A4 Sedan;Motor Diesel;2002;30511;False;['Cámara de estacionamiento', '4 X 4', 'Cerraduras electricas', 'Aire condicionado', 'Techo panorámico', 'Ventanas eléctricas', 'Frenos ABS', 'Central multimedia'];96369.04
Xsara Picasso;Motor 2.0 16v;2013;74867;False;['Sensor de lluvia', 'Techo panorámico', 'Central multimedia', 'Ventanas eléctricas', 'Llantas de aleación', 'Panel digital', 'Sensor crepuscular', 'Piloto automático'];142603.84
207 SW;Motor 3.0 32v;2017;119760;False;['Control de estabilidad', 'Cerraduras electricas', 'Cámara de estacionamiento', 'Asientos de cuero', 'Sensor de estacionamiento', 'Transmisión automática', 'Piloto automático', 'Sensor de lluvia'];117709.67
Star;Motor V6;2016;8356;False;['Cámara de estacionamiento', '4 X 4', 'Central multimedia', 'Ventanas eléctricas', 'Sensor crepuscular', 'Sensor de estacionamiento', 'Techo panorámico', 'Piloto automático'];102241.54
Doblò Cargo;Motor 3.0 32v;2008;64247;False;['Frenos ABS', 'Techo panorámico', 'Ventanas eléctricas', 'Piloto automático', 'Cámara de estacionamiento', 'Aire condicionado', 'Control de tracción', '4 X 4'];96065.38
Cadillac CTS;Motor 1.8 16v;2018;88661;False;['Cerraduras electricas', 'Sensor de lluvia', 'Frenos ABS', 'Transmisión automática', 'Sensor de estacionamiento', '4 X 4', 'Aire condicionado', 'Techo panorámico'];53894.61
Cayenne;Motor 1.0 8v;2003;4539;False;['Control de tracción', 'Piloto automático', 'Cerraduras electricas', 'Asientos de cuero', 'Sensor de lluvia', '4 X 4', 'Control de estabilidad', 'Llantas de aleación'];123911.78
Fox;Motor 4.0 Turbo;2003;110116;False;['Piloto automático', 'Transmisión automática', 'Cerraduras electricas', 'Sensor de estacionamiento', 'Techo panorámico', 'Central multimedia', 'Aire condicionado', 'Llantas de aleación'];101996.35
Tiida Hatch;Motor Diesel V6;2004;33215;False;['Techo panorámico', 'Cerraduras electricas', 'Sensor de estacionamiento', 'Central multimedia', '4 X 4', 'Sensor de lluvia', 'Aire condicionado', 'Llantas de aleación'];83431.66
Dodge Charger;Motor 2.4 Turbo;2010;92001;False;['Ventanas eléctricas', 'Sensor crepuscular', 'Control de estabilidad', 'Techo panorámico', 'Cámara de estacionamiento', 'Piloto automático', 'Sensor de estacionamiento', '4 X 4'];122975.63
Face;Motor V8;2019;;True;['Control de estabilidad', 'Ventanas eléctricas', 'Frenos ABS', 'Sensor de lluvia', 'Cámara de estacionamiento', 'Panel digital', 'Aire condicionado', 'Techo panorámico'];93227.73
Prius;Motor 3.0 32v;2006;81708;False;['Llantas de aleación', 'Asientos de cuero', 'Panel digital', 'Cámara de estacionamiento', 'Techo panorámico', 'Ventanas eléctricas', 'Control de tracción', 'Aire condicionado'];58762.65
Idea;Motor V6;2001;70641;False;['Central multimedia', 'Piloto automático', 'Cerraduras electricas', 'Asientos de cuero', '4 X 4', 'Control de tracción', 'Transmisión automática', 'Sensor de lluvia'];139549.67
A8;Motor 2.0 16v;2019;;True;['Panel digital', 'Techo panorámico', 'Piloto automático', 'Sensor de lluvia', 'Transmisión automática', 'Frenos ABS', 'Cámara de estacionamiento', 'Sensor crepuscular'];122016.42
Série 1 Cabrio;Motor 3.0 32v;2015;91277;False;['Ventanas eléctricas', 'Cerraduras electricas', 'Control de tracción', 'Transmisión automática', 'Sensor crepuscular', 'Panel digital', 'Asientos de cuero', 'Sensor de lluvia'];72731.98
Edge;Motor V6;2018;26544;False;['Frenos ABS', 'Control de tracción', 'Sensor crepuscular', 'Cerraduras electricas', 'Transmisión automática', 'Cámara de estacionamiento', 'Sensor de lluvia', 'Techo panorámico'];88416.54
Cadillac ATS sedan;Motor 1.8 16v;2017;52596;False;['Panel digital', 'Ventanas eléctricas', 'Techo panorámico', 'Central multimedia', 'Cámara de estacionamiento', 'Llantas de aleación', 'Sensor de lluvia', 'Piloto automático'];73873.42
Lamborghini Asterion LPI 910-4;Motor 5.0 V8 Bi-Turbo;1992;47503;False;['Aire condicionado', 'Panel digital', 'Control de estabilidad', 'Sensor de lluvia', 'Ventanas eléctricas', 'Techo panorámico', 'Transmisión automática', '4 X 4'];70709.34
Frontier;Motor V8;2001;89056;False;['Transmisión automática', 'Llantas de aleación', 'Sensor de estacionamiento', 'Asientos de cuero', 'Ventanas eléctricas', 'Cerraduras electricas', 'Aire condicionado', 'Techo panorámico'];115306.5
Série 3 Sedã;Motor 3.0 32v;1993;28834;False;['Control de tracción', 'Control de estabilidad', '4 X 4', 'Llantas de aleación', 'Cerraduras electricas', 'Techo panorámico', 'Sensor de lluvia', 'Sensor de estacionamiento'];55924.63
Lamborghini LM002;Motor 1.8 16v;1995;110564;False;['Asientos de cuero', 'Frenos ABS', 'Central multimedia', 'Control de estabilidad', 'Control de tracción', 'Llantas de aleación', 'Cerraduras electricas', 'Sensor crepuscular'];85052.26
Cadillac XLR;Motor Diesel V8;2003;56638;False;['Sensor crepuscular', 'Techo panorámico', 'Sensor de estacionamiento', 'Asientos de cuero', 'Transmisión automática', 'Cámara de estacionamiento', 'Frenos ABS', 'Llantas de aleación'];56646.34
A4 Avant;Motor Diesel;2014;17357;False;['Techo panorámico', '4 X 4', 'Asientos de cuero', 'Aire condicionado', 'Llantas de aleación', 'Frenos ABS', 'Control de estabilidad', 'Control de tracción'];138946.88
EcoSport;Motor 4.0 Turbo;2008;74015;False;['Piloto automático', 'Sensor de estacionamiento', 'Cerraduras electricas', 'Control de estabilidad', 'Sensor crepuscular', 'Techo panorámico', 'Llantas de aleación', 'Aire condicionado'];108256.72
J3;Motor 1.8 16v;2013;15196;False;['Control de estabilidad', '4 X 4', 'Cámara de estacionamiento', 'Techo panorámico', 'Panel digital', 'Asientos de cuero', 'Sensor de estacionamiento', 'Piloto automático'];58979.3
Q3;Motor 3.0 32v;2019;;True;['Control de estabilidad', 'Asientos de cuero', 'Panel digital', 'Sensor crepuscular', 'Frenos ABS', '4 X 4', 'Control de tracción', 'Sensor de lluvia'];114727.68
Aston Martin V8 Vantage;Motor V8;2017;10821;False;['Techo panorámico', 'Control de tracción', 'Panel digital', '4 X 4', 'Cámara de estacionamiento', 'Piloto automático', 'Control de estabilidad', 'Sensor de lluvia'];139661.48
Z4 Roadster;Motor 3.0 32v;2019;;True;['Central multimedia', 'Transmisión automática', 'Cerraduras electricas', '4 X 4', 'Asientos de cuero', 'Techo panorámico', 'Frenos ABS', 'Sensor crepuscular'];80382.24
Lamborghini Ferruccio;Motor 3.0 32v;2019;;True;['Ventanas eléctricas', 'Piloto automático', 'Techo panorámico', 'Sensor crepuscular', 'Sensor de lluvia', 'Aire condicionado', 'Frenos ABS', 'Cámara de estacionamiento'];149157.17
Ford Ka+;Motor 1.8 16v;2006;9595;False;['Sensor crepuscular', 'Piloto automático', 'Control de tracción', 'Control de estabilidad', 'Aire condicionado', 'Central multimedia', 'Transmisión automática', 'Asientos de cuero'];87830.41
